tri,vertex,x,y,z,fault_name
28,c,123682.7,3177010.6,2000.0,tib_dog
28,m,122858.8,3178415.033333333,1333.3333333333333,tib_dog
29,a,116595.4,3179360.6,4177.0,tib_dog
29,b,118437.0,3178053.5,4000.0,tib_dog
29,c,117612.4,3177614.7,4666.0,tib_dog
29,m,117548.26666666666,3178342.9333333336,4281.0,tib_dog
30,a,123234.2,3179784.7,0.0,tib_dog
30,b,125403.4,3178157.8,0.0,tib_dog
30,c,123682.7,3177010.6,2000.0,tib_dog
30,m,124106.76666666666,3178317.6999999997,666.6666666666666,tib_dog
31,a,125945.7,3179054.6,-1000.0,tib_dog
31,b,128490.3,3179096.4,-2500.0,tib_dog
31,c,127781.1,3177761.5,-1000.0,tib_dog
31,m,127405.7,3178637.5,-1500.0,tib_dog
32,a,115944.6,3180222.7,4000.0,tib_dog
32,b,116595.4,3179360.6,4177.0,tib_dog
32,c,115781.8,3179953.8,4164.0,tib_dog
32,m,116107.26666666666,3179845.7000000007,4113.666666666667,tib_dog
33,a,126821.7,3180389.5,-2500.0,tib_dog
33,b,128490.3,3179096.4,-2500.0,tib_dog
33,c,125945.7,3179054.6,-1000.0,tib_dog
33,m,127085.90000000001,3179513.5,-2000.0,tib_dog
34,a,124026.8,3180514.7,-1000.0,tib_dog
34,b,125403.4,3178157.8,0.0,tib_dog
34,c,123234.2,3179784.7,0.0,tib_dog
34,m,124221.46666666667,3179485.733333333,-333.3333333333333,tib_dog
35,a,124026.8,3180514.7,-1000.0,tib_dog
35,b,125945.7,3179054.6,-1000.0,tib_dog
35,c,125403.4,3178157.8,0.0,tib_dog
35,m,125125.3,3179242.366666667,-666.6666666666666,tib_dog
36,a,128490.3,3179096.4,-2500.0,tib_dog
36,b,131410.3,3180201.8,-5000.0,tib_dog
36,c,130033.7,3178074.3,-2500.0,tib_dog
36,m,129978.09999999999,3179124.1666666665,-3333.3333333333335,tib_dog
37,a,119761.5,3179680.4,2000.0,tib_dog
37,b,121357.1,3181203.0,0.0,tib_dog
37,c,121659.5,3178449.8,2000.0,tib_dog
37,m,120926.03333333333,3179777.733333333,1333.3333333333333,tib_dog
38,a,116595.4,3179360.6,4177.0,tib_dog
38,b,119761.5,3179680.4,2000.0,tib_dog
38,c,118437.0,3178053.5,4000.0,tib_dog
38,m,118264.63333333335,3179031.5,3392.3333333333335,tib_dog
39,a,129866.9,3181265.5,-5000.0,tib_dog
39,b,131410.3,3180201.8,-5000.0,tib_dog
39,c,128490.3,3179096.4,-2500.0,tib_dog
39,m,129922.5,3180187.9,-4166.666666666667,tib_dog
40,a,121357.1,3181203.0,0.0,tib_dog
40,b,123234.2,3179784.7,0.0,tib_dog
40,c,121659.5,3178449.8,2000.0,tib_dog
40,m,122083.59999999999,3179812.5,666.6666666666666,tib_dog
41,a,114968.2,3181377.6,3881.0,tib_dog
41,b,115944.6,3180222.7,4000.0,tib_dog
41,c,115781.8,3179953.8,4164.0,tib_dog
41,m,115564.86666666665,3180518.0333333337,4015.0,tib_dog
42,a,117550.6,3181307.2,2000.0,tib_dog
42,b,119761.5,3179680.4,2000.0,tib_dog
42,c,116595.4,3179360.6,4177.0,tib_dog
42,m,117969.16666666667,3180116.0666666664,2725.6666666666665,tib_dog
43,a,115944.6,3180222.7,4000.0,tib_dog
43,b,117550.6,3181307.2,2000.0,tib_dog
43,c,116595.4,3179360.6,4177.0,tib_dog
43,m,116696.86666666665,3180296.8333333335,3392.3333333333335,tib_dog
44,a,125069.7,3181682.7,-2500.0,tib_dog
44,b,125945.7,3179054.6,-1000.0,tib_dog
44,c,124026.8,3180514.7,-1000.0,tib_dog
44,m,125014.06666666667,3180417.3333333335,-1500.0,tib_dog
45,a,125069.7,3181682.7,-2500.0,tib_dog
45,b,126821.7,3180389.5,-2500.0,tib_dog
45,c,125945.7,3179054.6,-1000.0,tib_dog
45,m,125945.7,3180375.6,-2000.0,tib_dog
46,a,128490.3,3179096.4,-2500.0,tib_dog
46,b,128740.6,3182016.4,-5000.0,tib_dog
46,c,129866.9,3181265.5,-5000.0,tib_dog
46,m,129032.60000000002,3180792.766666667,-4166.666666666667,tib_dog
47,a,126821.7,3180389.5,-2500.0,tib_dog
47,b,128740.6,3182016.4,-5000.0,tib_dog
47,c,128490.3,3179096.4,-2500.0,tib_dog
47,m,128017.53333333333,3180500.766666667,-3333.3333333333335,tib_dog
48,a,122024.5,3181974.7,-1000.0,tib_dog
48,b,123234.2,3179784.7,0.0,tib_dog
48,c,121357.1,3181203.0,0.0,tib_dog
48,m,122205.26666666668,3180987.466666667,-333.3333333333333,tib_dog
49,a,122024.5,3181974.7,-1000.0,tib_dog
49,b,124026.8,3180514.7,-1000.0,tib_dog
49,c,123234.2,3179784.7,0.0,tib_dog
49,m,123095.16666666667,3180758.0333333337,-666.6666666666666,tib_dog
50,a,117550.6,3181307.2,2000.0,tib_dog
50,b,119271.3,3182579.5,0.0,tib_dog
50,c,119761.5,3179680.4,2000.0,tib_dog
50,m,118861.13333333335,3181189.033333333,1333.3333333333333,tib_dog
51,a,119271.3,3182579.5,0.0,tib_dog
51,b,121357.1,3181203.0,0.0,tib_dog
51,c,119761.5,3179680.4,2000.0,tib_dog
51,m,120129.96666666667,3181154.3000000003,666.6666666666666,tib_dog
52,a,114968.2,3181377.6,3881.0,tib_dog
52,b,117550.6,3181307.2,2000.0,tib_dog
52,c,115944.6,3180222.7,4000.0,tib_dog
52,m,116154.46666666667,3180969.1666666665,3293.6666666666665,tib_dog
53,a,127364.0,3182809.0,-5000.0,tib_dog
53,b,128740.6,3182016.4,-5000.0,tib_dog
53,c,126821.7,3180389.5,-2500.0,tib_dog
53,m,127642.09999999999,3181738.3000000003,-4166.666666666667,tib_dog
54,a,123609.7,3182934.1,-2500.0,tib_dog
54,b,125069.7,3181682.7,-2500.0,tib_dog
54,c,124026.8,3180514.7,-1000.0,tib_dog
54,m,124235.40000000001,3181710.5,-2000.0,tib_dog
55,a,122024.5,3181974.7,-1000.0,tib_dog
55,b,123609.7,3182934.1,-2500.0,tib_dog
55,c,124026.8,3180514.7,-1000.0,tib_dog
55,m,123220.33333333333,3181807.8333333335,-1500.0,tib_dog
56,a,125069.7,3181682.7,-2500.0,tib_dog
56,b,127364.0,3182809.0,-5000.0,tib_dog
56,c,126821.7,3180389.5,-2500.0,tib_dog
56,m,126418.46666666667,3181627.0666666664,-3333.3333333333335,tib_dog
