X,Y,id,elev
100713.40680849625,3207692.2454496864,0,2162.0
100001.51296852587,3208997.384156299,1,2084.0
99357.41854188601,3210099.1246229196,2,2069.0
98526.87572858721,3211404.263329532,3,2041.0
97204.7871686422,3212336.505262826,4,2129.0
95560.65139537728,3213506.045142778,5,2627.0
94213.13805543332,3214556.936049401,6,2527.0
92907.99934882094,3215794.2753426833,7,2288.0
90924.86650890343,3217302.812289287,8,2171.0
88246.78968234819,3219116.4465958783,9,2035.0
125672.06584079257,3172317.901544489,10,3571.0
125070.3460474842,3172690.798317807,11,3743.0
124256.753087518,3172817.9222178007,12,4156.0
123010.93886756968,3174665.456231058,13,3678.0
121756.6497209551,3175157.0019777045,14,4021.0
120934.58183432253,3175343.450364363,15,4324.0
119917.59063436477,3175818.046257677,16,4540.0
118917.5492877396,3176512.9902443145,17,4528.0
117612.41058112707,3177614.7307109367,18,4666.0
116595.41938116928,3179360.5656041973,19,4177.0
115781.82642120305,3179953.8104708376,20,4164.0
114968.23346123684,3181377.5981507795,21,3881.0
113934.2924079464,3182682.7368573924,22,3644.0
112154.5578080203,3183292.931577367,23,3966.0
111103.66690139721,3184140.4242439987,24,3865.0
110052.77599477416,3184462.471457318,25,4119.0
108645.93816816589,3185089.616030625,26,4492.0
107917.0944748628,3186682.9022438927,27,4004.0
106849.25371490713,3186987.99960388,28,4336.0
105781.41295495145,3187903.291683841,29,4494.0
104781.37160832685,3189106.7312704595,30,4428.0
104705.09726833,3190742.3921170575,31,4269.0
104611.87307500077,3192081.4305303344,32,4024.0
103493.18275504731,3193471.318503611,33,4305.0
102476.19155508961,3195742.598850183,34,4524.0
103188.08539506001,3197301.9853567844,35,4171.0
104238.97630168291,3198912.2214233843,36,3762.0
103916.929088363,3200454.6580766537,37,3544.0
103154.18568839473,3202929.336663218,38,2970.0
102052.44522177389,3204115.826396502,39,2889.0
101747.34786178656,3206183.708503082,40,2237.0
132682.60928151527,3182204.1105218283,41,-7500.0
131055.73389324553,3183246.9793604617,42,-7500.0
129303.71424433963,3184498.4219668237,43,-7500.0
127927.12737734208,3185708.14981964,44,-7500.0
126884.25853870765,3186876.1629189095,45,-7500.0
125632.81593234633,3188252.7497859076,46,-7500.0
124256.2290653488,3190088.1989419037,47,-7500.0
123171.64547316896,3191756.7890837193,48,-7500.0
121878.48811326227,3193842.526760988,49,-7500.0
120877.33402817315,3195969.979191803,50,-7500.0
119709.32092890255,3198139.1463761614,51,-7500.0
118624.73733672268,3200475.1725747036,52,-7500.0
117227.29309295252,3202331.4791074726,53,-7500.0
115099.84066213822,3203979.211872514,54,-7500.0
112158.950537189,3205877.233158829,55,-7500.0
110156.64236701083,3207629.252807735,56,-7500.0
107820.61616846963,3209402.1298334138,57,-7500.0
105359.44570929233,3211029.0052216835,58,-7500.0
103461.4244229776,3212509.8789725443,59,-7500.0
102126.55230952549,3213677.892071815,60,-7500.0
100624.82118189185,3214908.477301404,61,-7500.0
99123.09005425824,3216180.777284537,62,-7500.0
97788.21794080608,3217244.503499945,63,-7500.0
96098.77042221827,3218433.373975988,64,-7500.0
129199.42736047617,3176718.6204306083,65,-1000.0
127781.12573993333,3177761.489269243,66,-1000.0
125945.67658393666,3179054.64662915,67,-1000.0
124026.79792084926,3180514.663003238,68,-1000.0
122024.48975067107,3181974.6793773263,69,-1000.0
119563.31929149377,3183893.5580404126,70,-1000.0
117727.87013549708,3185895.866210591,71,-1000.0
116184.42425431809,3187981.6038878607,72,-1000.0
114807.8373873206,3190463.6317238105,73,-1000.0
113869.2554325496,3192799.6579223517,74,-1000.0
113118.38986873279,3194989.6824834845,75,-1000.0
112471.81118877944,3197137.9922910715,76,-1000.0
115141.55541568366,3201705.7578042885,77,-5000.0
116851.86031104415,3198243.4332600236,78,-5000.0
117519.29636777022,3196574.843118209,79,-5000.0
118311.87668513242,3194906.2529763933,80,-5000.0
119479.88978440299,3192903.944806216,81,-5000.0
120439.32911594672,3190943.3513895823,82,-5000.0
122107.91925776184,3188565.610437497,83,-5000.0
123359.36186412319,3186730.1612814995,84,-5000.0
124819.37823821146,3185437.003921593,85,-5000.0
125987.39133748203,3183768.4137797775,86,-5000.0
127363.97820447953,3182808.974448233,87,-5000.0
128740.56507147703,3182016.3941308707,88,-5000.0
129866.86341720224,3181265.5285670543,89,-5000.0
119313.03077022145,3187272.4530775887,90,-2500.0
118437.02094576845,3188482.180930405,91,-2500.0
117352.43735358863,3190567.918607675,92,-2500.0
116184.42425431807,3192737.085792033,93,-2500.0
115391.84393695583,3194572.53494803,94,-2500.0
114557.54886604828,3196741.70213239,95,-2500.0
120230.75534821978,3186313.013746045,96,-2500.0
121982.7749971257,3184394.1350829573,97,-2500.0
123609.65038539543,3182934.1187088694,98,-2500.0
125069.66675948368,3181682.6761025083,99,-2500.0
126821.68640838959,3180389.5187426014,100,-2500.0
128490.27655020473,3179096.361382695,101,-2500.0
131410.30929838118,3180201.8023516475,102,-5000.0
130033.72243138368,3178074.3499208326,103,-2500.0
94743.0409319934,3219590.95838687,104,-7500.0
92845.0196456787,3220946.687877095,105,-7500.0
90967.85573613668,3222448.4190047276,106,-7500.0
111929.51939268943,3199098.5857077045,107,-1000.0
110657.21940955539,3201580.613543655,108,-1000.0
109343.20467287602,3203290.918439015,109,-1000.0
108175.19157360513,3204531.932356992,110,-1000.0
106798.60470660764,3205950.233977536,111,-1000.0
105714.02111442781,3206857.5298671476,112,-1000.0
103565.7113068408,3208713.836399916,113,-1000.0
102053.55149082084,3209840.134745641,114,-1000.0
101177.54166636788,3210841.28883073,115,-1000.0
100343.24659546031,3211592.154394548,116,-1000.0
99081.37530071264,3212530.7363493177,117,-1000.0
98007.2203969191,3213292.030601521,118,-1000.0
97381.49909373844,3213698.7494485877,119,-1000.0
96192.62861769517,3214668.6174685173,120,-1000.0
94753.4696203796,3215878.3453213326,121,-1000.0
93721.02947013149,3216681.3543270812,122,-1000.0
91916.86637929385,3217932.7969334438,123,-1000.0
91186.85819224973,3218495.9461063063,124,-1000.0
89085.47748240129,3219945.5337920077,125,-1000.0
113535.53740418625,3199182.015214796,126,-2500.0
111741.80300173502,3202248.0496003805,127,-2500.0
109864.63909219297,3204312.9299008762,128,-2500.0
108091.76206651442,3205960.662665919,129,-2500.0
105422.01783961017,3208234.1167341406,130,-2500.0
103023.41951075091,3209923.5642527295,131,-2500.0
101646.8326437534,3211216.7216126365,132,-2500.0
100270.24577675592,3212447.306842224,133,-2500.0
98851.94415621305,3213385.888796997,134,-2500.0
97537.9294195336,3214407.900258858,135,-2500.0
96286.48681317225,3215283.910083312,136,-2500.0
95243.61797453779,3216243.349414855,137,-2500.0
94033.8901217218,3217098.501862535,138,-2500.0
92573.87374763358,3218120.513324396,139,-2500.0
90780.13934518227,3219476.242814622,140,-2500.0
89445.26723173018,3220352.2526390743,141,-2500.0
115975.85048659092,3199807.736517977,142,-5000.0
113598.10953450436,3203353.4905693326,143,-5000.0
