depth,dip,east,fault_name,htm_ind,north,point_index,rake,slip_m,strike,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
-1643.0,11.0,398033.1421923721,galetzka_mainshock,,2979505.9501428567,1,113.49090464281277,0.4830865927553775,295.0,5.264390410313814,-3.936763457130326,-0.13281775347512415,-0.8244484982338979,11.668079665963228,2.64617075980395,-0.008604209211722169,0.04734797861317619,5.418870485823411
-1643.0,11.0,389026.03382982884,galetzka_mainshock,,2983836.2638291707,2,110.803193178475,0.4376630559003125,295.0,5.706387755331474,-4.029872674950568,-0.31699172221602684,-0.7153668405954482,11.770227899070786,3.2603640003515695,-0.02633584121192034,-0.11291432487780549,5.853334057244117
-1643.0,11.0,380024.94771593966,galetzka_mainshock,,2988173.2807642687,3,105.45724556752356,0.3756576889935837,295.0,6.009944889097014,-4.026608538931079,-0.26918461879445815,-0.71233972504077,11.774756431682347,3.6480650343239294,-0.04420223055306788,-0.04403477434819155,6.1489577447749015
-1643.0,11.0,371010.0461332628,galetzka_mainshock,,2992517.2252267995,4,80.92989451483402,0.2776719566845021,295.0,5.68879480852615,-4.027879207094297,-0.40835744520156286,-0.6036242347878852,11.50942903707597,3.9805187276157916,0.021218714735341815,-0.1691076431844756,5.832804837486428
-1643.0,11.0,362000.9339248404,galetzka_mainshock,,2996845.7850960293,5,106.95191023300815,0.2749778382433756,295.0,4.7487559292758945,-3.9344817108931993,-0.3344741050646173,-0.8381624921907462,11.218283255586908,4.154056024097722,0.39578579902648614,0.016427941338939267,5.000823232555265
-1643.0,11.0,352997.9540580317,galetzka_mainshock,,3001192.212926695,6,64.56252902935985,0.1991684711594684,295.0,9.010658717671054,-3.7515214393733594,-0.21273064097113104,-1.8070052806152188,12.218148947498229,4.862046698178094,0.5325697788577389,0.4828942484289741,9.4499925418637
-1643.0,11.0,343990.804753851,galetzka_mainshock,,3005523.417622466,7,92.62374282952489,0.1559234567385228,295.0,11.04791531212053,-4.25404453992342,-0.675661150359288,-2.078705439376813,13.25922908290022,6.116118581783981,0.7163583881409262,0.26096155180361463,11.608868126832077
-1643.0,11.0,334979.74041731487,galetzka_mainshock,,3009861.5966064218,8,92.44047901527279,0.14409069084212206,295.0,12.993634755176222,-4.2664323216160405,-0.7276737101958036,-2.0212659424632085,14.951186833652324,7.199920550285679,0.54559957134793,0.14793211466921594,13.515549157251996
-1643.0,11.0,325964.770377098,galetzka_mainshock,,3014206.7914393423,9,100.82295188137672,0.11156449704543107,295.0,12.877602533045883,-3.8136433452982352,0.4772926086544087,-0.7135869077760774,15.459028812025242,7.498357249303961,-0.8758170783352985,0.6066041366869682,12.793863441500863
-1643.0,11.0,316955.4761481365,galetzka_mainshock,,3018536.7378305374,10,69.4629889913209,0.057426710205269474,295.0,11.095547231902223,-4.107910461071807,0.9392504709144203,-0.46623240227080825,14.968217543343656,8.254617033672798,-0.8731946884882902,1.0422047947514868,10.93079261362681
-1643.0,11.0,307952.15242877736,galetzka_mainshock,,3022873.6131678615,11,52.139087138921326,0.052498852796989764,295.0,13.064355704160832,-4.348442587775034,-0.2912347658618298,-0.9160191058439511,16.564402965963005,9.865291640425028,-0.11514992588451967,0.16465151091570993,13.227270983254293
-1643.0,11.0,298935.01153458835,galetzka_mainshock,,3027217.7595499633,12,135.0,0.057732440256756876,295.0,17.46178791491389,-4.02931132585602,-0.008534526824875013,-0.686991900091078,17.110301390598483,10.56480400989405,-1.0703610147997864,0.29323021630513313,17.375458165465076
-1643.0,11.0,289923.6647022541,galetzka_mainshock,,3031557.822536718,13,135.0,0.12833846657179598,295.0,15.502002342672538,-4.281054942803856,-0.7255976539524728,0.19064469333937997,16.287531530669256,11.071548760721317,-1.1454823426840501,-0.5807576051520201,15.30536444355867
-1643.0,11.0,280918.0869834223,galetzka_mainshock,,3035893.8202953744,14,57.067581522144316,0.04373222667553072,295.0,15.738888092874442,-3.7087767091163433,-0.22060210561647917,-0.6124144309661963,15.256433269692025,10.549321194037153,-0.7456364043357269,0.1686674637308096,15.719961290289962
-1643.0,11.0,271908.57454707444,galetzka_mainshock,,3040237.0365243615,15,76.81440139321833,0.11755930186931188,295.0,12.761185998074843,-3.3660236154156675,-0.5537479380569904,0.6861039928497262,14.458824318909468,10.125363908270534,-1.1912540982540565,-0.6811434135473416,12.45424947961966
-1643.0,11.0,262894.9223256079,galetzka_mainshock,,3044576.4308089293,16,69.68819891737664,0.12393669910079096,295.0,8.439471508721496,-2.9211735161490626,-0.2031109829620925,1.3475286080846502,12.779828515240245,8.981573704943143,-1.2432942550539592,-0.6590370826145139,7.977092941430431
-1643.0,11.0,253877.11424267504,galetzka_mainshock,,3048912.04371184,17,100.2758284353997,0.11567538902030974,295.0,5.343767694031299,-2.4602197568459214,-0.19224572670015772,0.41769947408518326,11.448153678539278,7.055608686999216,-0.16108745596243446,-0.3635967741291374,5.25466275204822
-1643.0,11.0,244865.24167826032,galetzka_mainshock,,3053254.792749551,18,99.41566547282343,0.1162866758317564,295.0,5.211835356241646,-1.7471967666360906,-0.14439077165254885,-0.11973939488620232,11.043022219103465,5.867406716162545,0.20243832042498866,-0.24274589140814756,5.284141185317959
-1643.0,11.0,235859.0650420873,galetzka_mainshock,,3057593.6135029383,19,87.39324507486342,0.08116398729707652,295.0,4.90203248132463,-1.2642304121161192,-0.13168026665834653,-0.24952071423372998,11.207638049343132,5.503517995301425,0.38336200491872063,-0.27545859555884983,5.031325526862018
